COMENTARIO;frecuencia
seria bueno que se pudiese imprimir;1
seria bueno que se pudiera ver al menos 3 ultimas hojas a mas para visualizar y ver si la propiedad tiene algun tipo de problema;1
seria bueno que se pudiera imprimir para poder leerlo mejor solo como alternativa informativa gracias;1
seria bueno que se pudiera imprimir;1
seria bueno que se pudiera descargar el archivo pero aparte de eso exelente ayuda;1
seria bueno que se pudiera descargar;1
seria bueno que se pudiera dar mas de 3 visualizaciones;1
seria bueno que se permitan mas ingresos a la plataforma por lo demas todo genial;1
seria bueno que se permita tener capturas de la publicaciones;1
seria bueno que se permita imprimir o descargar en formato pdf los asientos y no poner limite tan corto para su visualizacion;1
seria bueno que se permita descargar;1
seria bueno que se nos permita imprimir la partida visualizada;1
seria bueno que se logre imprimir;1
seria bueno que se informe hay observaciones de parte de sunarp o hay cartas presentadas de xxx es muy importante saber si alguien presenta actas sin tener derecho para que la directiva actual tome acciones;1
seria bueno que se pueda imprimir la informacion o al menos poder descargar el pdf el resto perfecto;1
seria bueno que se pueda imprimir la informacion;1
asdgfgaj;1
seria bueno que se pueda editar las notificaciones flotantes que salen de cada predio;1
seria bueno que se pueda descargar los poligonos de interes;1
seria bueno que se pueda descargar los documentos;1
seria bueno que se pueda descargar los asientos;1
seria bueno que se pueda descargar la informacion en formato shp;1
seria bueno que se pueda descargar en formato pdf;1
seria bueno que se pueda descargar el poligono con sus coordenadas;1
seria bueno que se pueda descargar el material por hoja hay personas que no tienen para pagar por toda la partida;1
seria bueno que se pueda descargar el documento o imprimirlo;1
seria bueno que se pueda descargar el documento en pdf porque es tedioso tomar foto o captura de pantalla porque la pantallita del documento es pequena y no se visualiza todo completo de una sola;1
seria bueno que se pueda descargar dicha informacion;1
seria bueno que se pueda descargar como pdf;1
seria bueno que se pueda descargar;1
seria bueno que tambien pueda imprimirse;1
seria bueno que sea mas preciso los datos de limites de propiedad tambien adicionar la opcion para activar nombres de vias partques instituciones del estado tambien considerar el uso que le puede dar personas que realizan estudios por que es util;1
seria bueno que se visualice la pagina completa y no por partes;1
seria bueno que se vea mas grande la pagina;1
seria bueno que se vea mas completo la hoja de visualizacion;1
seria bueno que se puedan visualizar mas partidas;1
seria bueno que se puedan descargar los documentos;1
seria bueno que se puedan descargar las partidas;1
seria bueno que se puedan buscar mas partidas en una sola sesion;1
seria bueno que se pueda ver los titulos que estan en calificacion;1
seria bueno que se pueda ver las demas paguinas;1
seria bueno que se pueda ver las coordenadas y actualizar el google pero de todas maneras me fue util;1
seria bueno que se pueda ver la hoja completa;1
seria bueno que se pueda mostrar los titulos pendientes;1
asesoria pars entender lls titulos;1
seria bueno que se pueda imprimir la informacion teniendo en cuenta que dichas copias no van a tener validez para ningun uso y tramite externo sin embargo para una mejor lectura;1
seria bueno si permitieran mas visualizaciones en el dia;1
seria bueno si hubiera un buscador por numero de partida independizada;1
seria bueno sea descargable;1
seria bueno se pueda imprimir;1
seria bueno saber la lomgitud exacta;1
seria bueno saber el hasta que fecha se encuentra actualizado la documentacion inscrita para tener un criterio mas acertado sobre las propiedades inscritas y tambien poder filtrar sobre predios urbanos o rurales;1
seria bueno saber donde ir para ver descargas y ahi mismo mencionar que debe hacer pagos para que se mas practico;1
seria bueno realizar la impresion y que esa impresion senale que no tiene valor para evitarle problemas a ustedes;1
seria bueno qur se pueda descargar las partidas registrales;1
seria bueno que tengan una opcion de poder descargar las partidas registrales de los predios;1
seria bueno que tengan las medidas de acuerdo a la copia literal y;1
seria bueno que tenga una opcion para descargar esa parte basica ya que nos ayuda a tener a la mano ante cualquier eventualidad;1
seria bueno que tenga la base grafica actualizadas;1
seria bueno que tambien tenga si tiene denuncias o no de vehiculos;1
seria bueno que tambien se visualice por unidad catastral;1
seria bueno que tambien puedan incluir la visualizacion de los planos de los predios;1
seria bueno tener la posibilidad de imprimir pagando un fee;1
seria bueno tener la opcion de imprimir con un costo adicional;1
asesoria;1
seria bueno tener la opcion de impresion;1
seria bueno tener la opcion de cambiar de pagina cuando entras a un asiento para no tener que buscarlo nuevamente tambien si se puede descargar el asiento se ahorraria bastante tiempo;1
seria bueno tener acceso a los demas antecedentes;1
seria bueno tener acceso a la base de datos registral de acuerdo a alguna solicitud virtual a fin de utilizarlo en planos referenciales para busqueda negaiva de catastro;1
seria bueno tene ropcion de descargarlo en pdf;1
seria bueno tambien que se podria visualizar el numero de paginas de la ficha gracias;1
seria bueno tambien encontrar el nombre de los propietarios de los predios ayudaria mucho;1
seria bueno subir un archivo con coordenadas y graficarlo;1
seria bueno si se pueda ubicar poniendo la direccion completa porque solo hay que ubicarlo si uno ya conoce el predio y busca el lugar;1
seria bueno si se podria imprimir los asientos teniendo en cuenta que los mismos no tienen validez pero para una mejor lectura;1
seria bueno si se podria hacer mas de tres busquedas;1
seria bueno si podriamos grabar estos archivos;1
seria bueno si permitieran realizar mas de 3 busquedas;1
seria bueno visualizar todos los tomos;1
seria bueno visualizar los titulos archivados;1
seria bueno ver la visualizacion de calles para dar de manera mas exacta;1
seria bueno ver en un mismo turno diferentes partidas;1
seria bueno ver el nombre de los propietarios;1
seria bueno ver algunos datos del propietario o el valor del inmueble;1
seria bueno una orientacion sobre las nomenclaturas que aparecen en la informacion tecnica como en la tabla esa orientacion puede estar en un link como un texto de lo que significa o que oficina puede dar mas orientacion a lo encontrado;1
seria bueno una opcion imprimible o no la he podido encontrar;1
seria bueno una guia para los que recuien accden a este servicio muchas gracias;1
seria bueno un mayor zoon de pantalla para leer mejor poque solo es informativo;1
seria bueno tenga una opcion para imprimir;1
seria bueno tener una opcion para descargar;1
seria bueno tener un ajuste de pantalla personalizado del zoom;1
seria bueno tener toda la informacion registrada en la partida;1
seria bueno tener mejores fotos satelitales;1
seria bueno tener mas intentos;1
seria conveniente se visualice toda la partida no por partes;1
seria conveniente que tambien se mencionen si hay titulos pendientes;1
seria conveniente que saquen la publicidad que se encuentra en la zona inferior derecha y colocarla en otro lugar y poder bajar la leyenda a ese espacio gracias;1
seria conveniente que las impresiones coincidan con las adquiridas en las of de sunarp nombre de propietarios en la primera pag;1
seria conveniente poder saber cuanto costaria la partida completa;1
seria conveniente poder descargarla;1
seria conveniente para el usuario subir en shape file el poligono en consulta para verificar alguna superposicion con lo georeferenciado en campo;1
seria conveniente otorgar mas tiempo para las lecturas gracias;1
seria conveniente crear un boton para ir a la busqueda de la partida registral como publicidad registral;1
seria conveniente colocar en la pagina un glosario de terminos para los que poco conocemos de estos actos;1
seria conveniente actualizar las fotografias aereas;1
seria busca por el nombre la localidad;1
seria buenos que salgan a que personas pertenece los predios por favor;1
seria buenos que pongan la seccion de titulo pendientes para ver si hay presentacion en proceso al momento de hacer la consulta por este servicio que brinda;1
seria buenos que permitan imprimir ayudaria mucho cuando uno no tiene dinero y se puede informar y como ustedes pone sin valor oficial esta bien no se podria utilizar para proceso administrastivos y judiciales;1
seria buenoo contar ademas con el servicio de visuaizaciin de titulo archivado gracias;1
seria de mucha ayuda si se sube el archivo completo;1
seria de mucha ayuda poder descargar el archivo;1
seria de mucha ayuda para los usuarios poder descargar en formato pdf el documento;1
seria de mucha ayuda buscar a las personas juridicas y naturales por su razon social o ruc;1
seria de mayor utilidad visualizar la pagina completa;1
seria de gran utilidad que habilitaran una opcion para imprimir porque al fin y al cabo los documentos tienen la informacion marca al agua que no sustituye la publicidad registral;1
seria de gran ayuda que se pueda imprimir;1
seria de gran ayuda que se permita la descarga en pdf de este documento;1
seria de gran ayuda que los archivos se puedan imprimir o guardar en modo imagen para asi poder tener una mejor manera de dar lectura a los documentos;1
seria de gran ayuda que las medidas se puedan observar al borde del perimetro del inmueble;1
seria de gran ayuda que el plano sea nitido y actualizado cuando se hace zoom;1
seria de gran ayuda la opcion de descargar los documentos;1
seria de ayuda descargar los documentos para fines de autoverificacion;1
seria dable permitan imprimir debido a la necesidad de contar con los medios necesarios de salvaguarda especialmente las personas con menores recursos gracias;1
seria conveniento poder imprimir las paginas gracias;1
seria conveniente visualizar el contenido del reglamento interno de la junta de propietarios de un edificio pues es motivo de discusion y necesidad de consulta en sunarp gracias;1
seria excelente poder descargarlos;1
seria excelente poder descargar en pdf sin valor las partidas registrales;1
seria excelente poder descargar en formato png o jpg;1
seria excelente poder adquirir la base grafica catastral enlazado con la sunarp de cada ciudad ya que a veces presenta variaciones mas que todo por las cordenadas por lo demas esta excelente;1
seria excelente perfecto si se pudiese imprimir ayudaria muchisimo con un estudio lectura;1
seria excelente lograr descargar los poligonos y que la vizualizacion de los limites se pueda dar en diversos zoom mas alejados gracias;1
seria excelente el servicio si se pudiera imprimir;1
seria excelente darnos unos minutos mas en cada sesion;1
seria ex elente poder ver todo el documento y no aolo por partes;1
seria estupendo si agrandaran la ventana de visualizacion muy buen servicio gracias;1
seria estupendo que se pueda imprimir las visualizaciones;1
seria de suma importancia que se visualice las medidas de los predios;1
seria de mucho agrado que las visualizaciones no seas solo con 3 intentos ctm;1
seria de mucha utilidad que aparezcan las partidas de los colindantes a la busqueda;1
seria de mucha utilidad poder descargar documentacion ya que figura marca de agua no habria inconvenientes;1
seria de mucha ayuda un buscador de nombres a fin de agilizar la busqueda por toda la partida porque al haber muchos asientos la busqueda se hace no viable;1
seria excelente si se podria imprimir;1
seria excelente si ponen nombres de propietarios sin tener que buscar por partida;1
seria excelente si podrian verse mas de una hoja de la partida;1
seria excelente si permiten agrandar la pantalla para visualizar los asientos o si se pueden abrir en ventana adicional para su mejor lectura gracias;1
seria excelente si nos dan la opcion de descargar los archivos;1
seria excelente si la pantalla de la hoja se pueda ver completa al 100 gracias;1
seria excelente que se pudieran tambien visualizar los titulos arcfhivados gracias;1
seria excelente que se pudiera imprimir o guardar el resultado de la busqueda tambien que se pueda buscar por nombre y salga que propiedades estan con ese nombre;1
seria excelente que se deje imprimir;1
seria excelente que permitan descargar las imagenes de cada hoja;1
seria excelente que permita imprimir la informacion a fin de poder dar lectura de manera completa y claro si lo necesitamos de forma oficial original se tendria que hacer el pago respectivo;1
seria excelente que lo podamos descargar con un cargo menor pero gracias;1
seria excelente que las descargas sean en formato dwg;1
seria excelente que indicara la titularidad del predio;1
seria excelente que exisitiera las direcciones;1
seria excelente pongan los nombres a las calles;1
seria favorable que nos permitan imprimirlo;1
seria favorable aumentar el tiempo a 60 minutos dando cuenta de la revision extensa de los asientos;1
seria factible ver las otras copias completas gracias igual;1
seria fabuloso si incluyen los nombres de los titulares del predio;1
seria fabuloso que tenga la opcion para imprimir asi seria un sistema perfecto de apoyo a los usuarios solo las partidas registrales;1
seria exelente colocar mayor cantidad de puntos de referencia;1
seria excelete que haya una opcion para imprimir y las hojas debe decir que no es valido para venta;1
seria excelente ver todos los asientos;1
seria excelente unos 5 minutos mas;1
seria excelente tambien visualizar las partidas independizadas;1
seria excelente si si pudiesen ver las calles y numero de cuadra;1
seria excelente si se puede adicionar los ejes viales y la localidad;1
seria excelente si se pudiera visualizar la hoja completa;1
seria excelente si se pudiera tambier ver los predios que cuentan con unidad catastral;1
seria excelente si se pudiera imprimir la partida consultada solo para fines de informacion;1
seria excelente si se pudiera imprimir desde esta pagina;1
seria genial que aparesca las asientos registrales haciendo un click en el predio;1
seria genial que al momento de querer visualizar otra partida no se cerrara la sesion;1
seria genial poder visualizar el total de la ficha registral aun siendo con un pago de por medio;1
seria genial poder ver todos los asientos gracias;1
seria genial poder ver aparte el grafico ya descardo con las coordenadas;1
seria genial poder pagar por aqui y tener una partida registral apta para tramites ya que se evitarian gastos innecesarios por error de visualizacion;1
seria genial poder observar el relieve;1
seria genial poder imprimir y ver todo el documento;1
seria genial poder imprimir los formatos de las partidas electronicas;1
seria genial poder imprimir la hoja;1
seria genial poder descargar las partidas;1
seria genial poder descargar;1
seria genial descargarlo;1
seria genial descargar todo el documento;1
seria genial descargar la base grafica en formato dwg;1
seria formidable poder descargar la partida registral;1
seria genial si se pudiera descargar;1
seria genial si pudera ver el titular y numero de asientos;1
seria genial si permitieran descargar el documento que se visualiza;1
seria genial si implementan el servicio de vigencia de poder de personas juridicas;1
seria genial si dejan bacarlo en pdf;1
seria genial saber a nombre de quien esta inscrito el predio que uno busca gracias;1
seria genial que todos los asientos se encuentren en un solo archivo;1
seria genial que tambien aperturen una plataforma como esta para visualizar la vigencia de poder;1
seria genial que se nos permita descargar los archivos para informacion personal ya que se entiende que no es publicidad registral;1
seria genial que puedan brindarte datos sin pedir el departamento o distrito sino arrojarte ese dato;1
seria genial que nos den la opcion de descargar la infromacion;1
seria genial que las paginas esten ordenadas;1
seria genial que las fichas las pongan en horizontal;1
seria genial que la plataforma permita descargar cada hoja;1
seria genial que el cuadro que contiene el asiento pueda ser mas largo;1
seria genial que con la misma sesion podamos visualizar mas partidas;1
seria ideal poder copiar el texto;1
seria ideal poder bajar el pdf;1
seria ideal descargar los documentos;1
seria ideal anadir la opcion para la descarga de copias simples de archivos;1
seria ideal agregar un boton para descargar el documento en formato pdf;1
seria genial ver todo el documento;1
seria genial ver las calles;1
seria genial ver el plano perimetrico en pdf;1
seria genial un poco mas de tiempo;1
seria genial tener opciones para ver partidas de empresas con el numero de ruc de esa forma verificar a la empresa rapidamente;1
seria genial tener la posibilidad de imprimir gracias;1
seria genial tener 5 accesos diarios;1
seria genial si se pudiera ver al menos las 10 primeras hojas gracias;1
seria genial si se pudiera imprimir las hojas gracias;1
seria genial si se pudiera imprimir;1
seria genial si se pudiera descargar al menos que se habilite para los funcionarios publicos del ministerio publico;1
seria ideal que se pueda imprimir gracias;1
seria ideal que se pueda imprimir;1
seria ideal que permitar visualizar mas de una partida por sesion;1
seria ideal que permitan mas visualizaciones por dia o poder ver mas de una partida por sesion;1
seria ideal que nos dejen ver el titulo archivado;1
seria ideal que las partidas redactadas a mano o de una antiguedad mayor sean traducidas o haya una seccion de datos generales;1
seria ideal que la plataforma deje descargar como pdf los asientos;1
seria ideal que exista una opcion para imprimir en copia dura;1
seria ideal que el espacio donde se visualiza el documento sea mayor y asi ver la hoja completa;1
seria ideal que de aqui mismo podamos solicitar el documento pagando el respectivo servicio;1
seria ideal que aparesca los nombres de calles y avenidas para mejor referencia;1
seria ideal poder revisar mas partidas al dia;1
seria ideal poder imprimir la visualizacion;1
seria ideal poder imprimir;1
seria ideal poder descargar o imprimir la partida;1
seria ideal poder descargar la informacion;1
seria ideal visualizar el nombre del titular;1
seria ideal ver de la misma forma los titulos archivados pues esto ayuda a sanear los predios de manera mas rapida;1
seria ideal ver cada hoja completa;1
seria ideal unos 10 minutos mas de visualizacion y que dejen descargarlo en pdf como copia informativa solo para estudio del titulo;1
seria ideal una funcion para seleccionar capas porque no se pueden seleccionar algunos poligonos;1
seria ideal tener mas tiempo;1
seria ideal tener la opcion de realizar consultas sucesivas de otras partidas;1
seria ideal tener filtros de busqueda para agilizar la navegacion;1
seria ideal tener acceso a la impresion de nuestros documentos;1
seria ideal tambien poder encontrar el nombre del propietario;1
seria ideal si se pudiera imprimir la pag;1
seria ideal si se podria descargar o pagar los derechos por este medio y descargar todo el documento;1
seria ideal si permite la impresion;1
seria ideal senalar elnombre del propietario;1
seria ideal que se puedan imprimir los asientos;1
seria ideal que se pueda ver todo;1
seria interesante poder visualizar la partida haciendo click al nro de partida;1
seria interesante poder descargar los asientos o la partida completa;1
seria interesante poder contar con un tiempo minimo de 20 minutos para buscar con holgura la informacion;1
seria interesante descargar la partida digital con marca de agua obtenida de la pagina de sunarp;1
seria interesante complementar con la distribucion interna del predio;1
seria importantisimo que donde hay triplicidad de titulo a la hora de hacer una busqueda aparezcan los demas tiutlos y adicional las areas con cierre de partida con esa informacion no cometeriamos miles de errores y delitos;1
seria importante que se puedan ver mas partidas despues de las 11pm a 5am;1
seria importante que podamos visualizar otra pe dentro del tiempo estimado por usuario;1
seria importante que picando el numero de la partida te lleve a la visualizacion de la partida previo pago;1
seria importante permitan descargar o imprimir la informacion gratuita que se muestra con la anotacion de fondo un poco mas grande igual pueden seguir cobrando por las copias certificadas necesarias para tramites administrativos o judiciales gracias;1
seria importante ligar la base de datos de sunarp y las municipalidades a fin de evitar superposiciones de lotes y brindar una sola informacion el servicio es excelente;1
seria importante la impresion de las partidas;1
seria importante colocar el nombre de los propietarias dentro de el lote;1
seria importante ampliar mis opciones;1
seria idel visualizar los planos de la independizacion;1
seria ideal visualizar todas las paginas de la ficha;1
seria mas formidable que todos las paginas se muestren correlativamente y mecionar en la parte superior el ano del asiento y fecha de inscripcion;1
seria mas facil y rapido que dentro del visor hubiera una opcion que nos permita el acceso directo a la informacion que contiene la partida registral del lote que se busca;1
seria mas facil buscar si colocan los nombres de las calles y avenidas;1
seria mas dinamico si solo se pusiera el ruc de la entidad o empresa segfn el caso en particular;1
seria mas dinamico si desde el mismo acceso se pueda verificar el resumen y el detalle gracias;1
seria mas completo si pudiese verse la informacion de propietario;1
seria lo optimo que se pudiera visualizar varias partidas registrales;1
seria la impresion puesto que bien claro dice que no tiene valor registral;1
seria interesante y de mucha ayuda que se pueda visualizar tambien la vigencia de poderes;1
seria interesante tambien que actualizaran los terrenos que le pertenecen a las municipalidades o a la region como son terrenos publicos la informacion deberia estar actualizada para los estuadiantes nos serviria de mucho;1
seria interesante tambien publicar al dueno anterior y desde que fecha lo adquirio;1
seria interesante si saldriera la hoja completa y mas tiempo para poder leer;1
seria interesante si muestra la partida registral completa y para imprimir;1
seria interesante si el sistema pudiese reconocer cuando se esta visualizando una pe extensa para otorgar mayor tiempo al usuario en todo caso es muy util el servicio y no es mayor problema reingresar;1
seria interesante que todos los predios se encuentren catastrados incluyendo medidas y demas;1
seria interesante que se peuda descargar las partidas;1
seria mejor poder ver la hoja de manera completa;1
seria mejor poder navegar en varias partidas sin tener que cerrar sesion y tener un historial de las busquedas gracias;1
seria mejor poder ingresar a la consulta de propiedad sin dar tantos pasos;1
seria mejor poder imprimir;1
seria mejor poder hacer al menos 3 consultas sin salir;1
seria mejor poder descargar las graficas en formato kml;1
seria mejor el servicio si se pudiera imprimir;1
seria mejor darnos mas tiempo ya que estos nos ayuda bastante a los que trabajamos en municipalidad de centros poblados pero bueno todo bien;1
seria mejor colocar mas herramientas como mediciones y puntos;1
seria mas util si tambien se pudiera visualizar las hojas resumen donde se vea los titulares y las medidas y colindancias actuales;1
seria mas util si se puede imprimir;1
seria mas util si se pudiera imprimir gracias;1
seria mas util si se pudiera imprimir;1
seria mas util poder acceder a visualizar mas partidas en el caso de regularizacion en administracion de edificios;1
seria mas satisfactorio poder descargar los documentos o asientos;1
seria mas rapido con dni;1
seria mejor si no se tuviera que cerrar la sesion para poder pasar a otra partida de consulta;1
seria mejor si no hubiera limite de busquedas por dia pero si se debe poner limite 3 busquedas son muy pocas por favor ampliar la cantidad de busquedas que se pueden hacer por dia;1
seria mejor si huviera un orientador;1
seria mejor si figuran las calles o distrito;1
seria mejor si el area de visualizacion fuese un mas amplia;1
seria mejor si dejaran presenciar un poco mas pero es una gran ayuda;1
seria mejor si dan mas tiempo para leer las partidas;1
seria mejor servicio si permitiera guardar el documento gracias;1
seria mejor que uno pudiera consultar varias partidas sin tener que salir completamente de la secion;1
seria mejor que se visualize toda la pagina entera sin tener que verla por pedazos;1
seria mejor que se viera todo de corrido;1
seria mejor que la carga de los documentos sea mas rapida;1
seria mejor que dejen visualizar mas partidas si es que el tiempo no ha terminado independiente de las tres oportunidades;1
seria mejor que dejen descargar o poder hacer control f para buscar una palabra;1
seria mejor que dejasen descargar los documentos;1
seria mejor que dejaran descargar las partidas;1
seria mejor verla en pdf toda la partida;1
seria mejor ver todos los asientos en un solo archivo;1
seria mejor ver la hoja completa de cada asiento;1
seria mejor ver en paginas completas gracias;1
seria mejor tener acceso a guardar los datos y a imprimirlos;1
seria mejor si tuviera mas tiempo;1
seria mejor si se pudiesen descargar versiones gratuitas de los asientos registrales observables;1
seria mejor si se pudiese visualizar todo el historial registral;1
seria mejor si se pudiese descargar el archivo en pdf;1
seria mejor si se pudieran descargar las partidas;1
seria mejor si se pudiera visualizar la pagina completa;1
seria mejor si se pudiera imprimir gracias;1
seria mejor si se pudiera imprimir;1
seria mejor si se pudiera descargar la base grafica en formato cad o gis seleccionando el area de interes;1
seria mejor si se apreciara toda la ficha;1
seria mejor si pudieramos descargar cada hoja visualizada;1
seria muy bueno que se mejore la calidad porque no se nota muy bien y tambien que nos dejen imprimir;1
seria muy bueno que nos permita imprimir;1
seria muy bueno que no fijen 30 minutos por pe sino 30 minutos y las 3 veces por dia es decir 90 minutos para revisar tantas pe como sea posible;1
seria muy bueno obtener las impresiones de las paretidas;1
seria mucho mejor visualizar tambien planos del titulo archivado;1
seria mucho mejor tener mas de tres opciones;1
seria mucho mejor si se visualiza los asientos completos como una hoja pdf;1
seria mucho mejor si se puede descargar en pdf;1
seria mucho mejor si se pudiera imprimir o descargar ya que solo no carece de valor para realizar algun tramite;1
seria mucho mejor que se pueda revisar las demas hojas;1
seria mucho mejor que se peuda descargar los archivos eso nos ayudaria mucho para asi corroborrar que nuestros datos o compras o registro esten correctos;1
seria mucho mejor poder hacer las 3 consultas permitidas pero sin tener que salir de la pagina;1
seria mucho mejor la pag cuando al estar en un asiento pueda tener la opcion de ver las paginas de que tiene ese mismo asiento sin recurrir nuevamente bajar el mouse buscando en que asiento entre porque cada rato se sube la pantalla;1
seria mucho mas beneficioso si incrmentan los datos de ubicacion como manzana lote;1
seria muccho mejor si se pudiera imprimir;1
seria mejorar paramover ventanas como para visualizar mejor la ventana de navegacion del mapa integrar opcion para imprimir en pdg y jpg;1
seria necesario que habiliten y se pueda imprimir;1
seria necesario poder desplazar la imagen para observar los detalles;1
seria muy util si fuera posible subir el poligono de estudio;1
seria muy util que se pueda imprimir los asientos con el fin de tener la informacion a la mano;1
seria muy util poder ver todas las paginas en un solo archivo;1
seria muy util perimitir la exportacion de la partida para impresion;1
seria muy optimo pode guardar las copias ya que igual para cualquier t ramite se necesita las copias oficiales;1
seria muy interesante subir un poligono en shp;1
seria muy interesante si tambien salieran los linderos ya que el area y perimetro si salen;1
seria muy importante poder imprimir para asi tener registro de algunos datos;1
seria muy importante ampliar el tiempo y numero de busquedas;1
seria muy eficaz que se pueda buscar si un numero de dni cuenta con facultades de representacion vigente;1
seria muy conveniente facilitar la impresion;1
seria muy bueno si se pudiera visualizar los planos archivados;1
seria muy bueno que tambien incluyan los mandatos y poderes ya que por este medio no se puede visualizar;1
seria muy bueno que se puedan descargar los documentos ya que hay ocaciones donde se pueden extraviar;1
seria posible visualizar los certificados catastrales de los predios inscritos en las partidas registrales;1
seria posible visualizar los asientos anteriores;1
seria posible ver en pagina completa;1
seria posible que incluya la posibilidad de imprimir;1
seria posible que den la facilidad para imprimir por favor seria mejor para los que vivimos lejos de una entidad de sunarp;1
seria posible permitir imprimir;1
seria posible indicar datos de los propietarios;1
seria posible descargar en formato arcgis shp;1
seria poder imprimir el docuemto con el devido pago;1
seria pertienente que se puedan visualizar el numero del vertice en el plano que se muestra;1
seria perfecto si se pudiera imprimir;1
seria optimo que en lo posible la base se encuentre con los linderos registrales actualizados;1
seria necfesario alguna referencia del propietario;1
seria necesirio permitir descargar los archivos;1
seria necesario una opcion para regresar al menu anterior en vez de iniciar sesion a cada rato;1
seria necesario su descarga documento valido solo como informacion limitandoce para algun tramite;1
seria un poco mas facil poder visualizar las calles y avenidas;1
seria un poco mas facil para poder dar la direccion o manejar con el mouse de la computadora;1
seria un exito si lo correlacionaran la busqueda de manera adicional por mz y lote independientemente del numero de partida seria un exito y facilitarian la labor gracias;1
seria un buen servicio si no fuera restringido su acceso formulario muy extenso para la lectura pudieron poner un link para leer las condiciones y mas visible acepto y esta calificacion confusa parece buscar que la gente no lo use por que sera;1
seria todo perfecto si pudieramos descargar o visualizar la partida electronica;1
seria recomendable ver la pagina en un solo acto con opcion de zoom a veces al deslizar la barra vertical se sale de la ventana;1
seria recomendable que tambien tenga un limite no solo de visita sino de la persona si ven que un mismo dni entra continuamente a ver el mismo nro de partida ya tendria que se bloqueado de alguna manera por un tema de seguridad;1
seria recomendable que pusieran las coordenadas en cada punto de la matriz;1
seria recomendable que cunte con una opcion para poder descargar la informacion o el documento;1
seria recomendable poder realizar una impresion;1
seria recomendable poder descargar o imprimir los documentos;1
seria recomendable implementar un sistema para poder imprimir las partidas;1
seria que se pudiera descargar coordenadas;1
seria productivo revisar al menos cinco partidas;1
seria positivo que incluyan todas las partidas en la base grafica;1
seria positivo contar con las secciones viales;1
seria util y necesario facilitar su impresion;1
seria util tener la referencia de los distritos es un poco complicado por ejemplo buscar puente piedra;1
seria util que se pueda imprimir el documento en copia dura;1
seria util que se pueda descragra la informacion en formato shapefile;1
seria util poder retornar a la seccion de busqueda sin necesidad de tener que salir de la cuenta;1
seria util poder hacer varias busquedas en un solo inicio de sesion;1
seria util poder descargar los asientos visualizados;1
seria util para descargar en pdf;1
seria util la actualizacion del visor;1
seria util hacer busqueda con dni para saber que partidas hay registradas;1
seria util descargarlo o un link para pagar el fee y decargarlo;1
seria util aqui mismo colcoar un link para solicitar la partida;1
seria una buena propuesta dar la opcion de descarga de la base grafica;1
seria una buena opcion que nos permita imprimir;1
seria un tiempo mas amplio por ejemplo 30 miutos por busqueda;1
seria un poco mejor si colocasen la opcion imprimir;1
ases;1
servicio admirable y eficiente sigan asi;1
servicio adecuado al usuario;1
asegurados;1
servicio aceptable;1
asefseg;1
servicial;1
servici pesimo;1
servible;1
sertgserg;1
sertf;1
sertesrt;1
sertert;1
seris bueno un opcion de copia serificada con un pago;1
seriaq bueno que dejen imprimir;1
seria viable imprimir;1
servicio deficiente pauperrimo decrepito;1
servicio deficiente;1
asefg;1
servicio de gran ayuda seria de mayor ayuda se permita descargar el grafico del predio;1
servicio de gran ayuda muy bueno;1
servicio de consulta de propiedad es excelente;1
servicio de calidad felicidades;1
servicio de ayuda;1
servicio de archivo grafico;1
servicio correcto y simple;1
asedas;1
asdzxsfc;1
servicio agil y rapido;1
servicio agil y facil de consultar gracias;1
asdwfgh;1
servicio agil rapiso;1
servicio excelente gracias;1
servicio excelente felicitaciones;1
servicio esperansador pero aun falta detalles no se puede ver en tiempo real;1
servicio esperado por la ciudadania deberia de agregarse tambien sobre la busqueda de los titulaares registrales;1
servicio es una mierda no carga y demasiado lento;1
servicio en linea muy excelente;1
servicio en linea;1
servicio eficiente y excelente;1
asdvgds;1
servicio eficente;1
servicio eficaz;1
servicio eficas;1
servicio efectivo;1
servicio disponible cuando uno desea;1
servicio digital;1
servicio muy accesible;1
servicio malo nuca pude visualizar la base grafica de la partida de mi terreno mejorar o actualizar su sistema;1
servicio magnifico;1
servicio lento y no te permite en el tiempo concedido y en la misma sesion cambiar de consulta de partida;1
servicio lento no tiene la partida actualizada;1
servicio inmediato favorece la economia y celeridad procesal;1
servicio indisponible no se puede ver nada;1
servicio incompletlo;1
servicio importante y necesario para los usuarios;1
servicio gratuito que amarita mejorar;1
servicio gratuito excelente;1
servicio facil;1
asdtfrgyuhijokpl;1
servicio excelente y rapido;1
servicio excelente y muy informativo la plataforma es excelente;1
servicio excelente y muy buena plataforma de informacion;1
servicio no disponible arreglen su sistema;1
asdsdasd;1
servicio necesario y excelente;1
servicio necesario;1
servicio muy util y mas aun si es gratis;1
servicio muy util para la poblacion;1
servicio muy util gracias;1
servicio muy util despeja algunas dudas y ayuda con la presicion de los predios;1
asdsafsfsfdsfds;1
servicio muy importante que nos permite conocer la situacion legal de las partidas electronicas;1
servicio muy eficiente;1
servicio muy claro y rapido;1
servicio muy bueno y excelente plataforma;1
servicio muy bueno y de suma importancia;1
servicio muy bueno sobre todo para verificar excelente seria acceder a un copia pdf;1
servicio rapido y la informacion es fidedigna;1
servicio rapido y eficaz;1
servicio rapido y confiable;1
servicio que evita trasladarse gastar tiempo y dinero solo para consultar excelente;1
servicio practico y util;1
servicio practico;1
